insertId,labels.protocol,labels.request_id,labels.type,logName,receiveTimestamp,resource.labels.project_id,resource.type,severity,textPayload,timestamp,trace
12aiicfg323yea0,V2,e55da12d-5b10-4905-8824-c33f5999ee0a-d74139ee,dialogflow_response,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:33.213563591Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Response : id: ""e55da12d-5b10-4905-8824-c33f5999ee0a-d74139ee""
lang: ""pt-br""
session_id: ""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2""
timestamp: ""2021-04-17T12:31:33.199295Z""
result {
  source: ""agent""
  resolved_query: ""GCP""
  score: 0.7832072
  parameters {
    fields {
      key: ""provedor_nuvem""
      value {
        string_value: ""Google Cloud Platform""
      }
    }
  }
  metadata {
    intent_id: ""6268f72f-e103-4524-8352-2714224586b2""
    intent_name: ""Provedor Nuvem Intent""
    webhook_used: ""false""
    webhook_for_slot_filling_used: ""false""
    is_fallback_intent: ""false""
  }
  fulfillment {
    speech: ""Legal, também gosto de usar o provedor Google Cloud Platform.""
    messages {
      lang: ""pt-br""
      type {
        number_value: 0.0
      }
      speech {
        string_value: ""Legal, também gosto de usar o provedor Google Cloud Platform.""
      }
    }
  }
}
status {
  code: 200
  error_type: ""success""
}
",2021-04-17T12:31:33.202922Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
12aiicfg323ye9z,V2,e55da12d-5b10-4905-8824-c33f5999ee0a-d74139ee,dialogflow_request,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:33.213563591Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Request : {""session"":""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2"",""query_input"":""{\n  \""text\"": {\n    \""textInputs\"": [{\n      \""text\"": \""GCP\""\n    }]\n  }\n}"",""timezone"":""America/Buenos_Aires""}",2021-04-17T12:31:33.169Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
1s3vmqag3jbmzs2,V2,292f9bb5-16a7-4629-b560-30c78baaa6d5-d74139ee,dialogflow_response,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:25.030692240Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Response : id: ""292f9bb5-16a7-4629-b560-30c78baaa6d5-d74139ee""
lang: ""pt-br""
session_id: ""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2""
timestamp: ""2021-04-17T12:31:25.016255Z""
result {
  source: ""agent""
  resolved_query: ""Mysql""
  score: 0.6358485
  parameters {
    fields {
      key: ""banco_dados""
      value {
        string_value: ""MySQL""
      }
    }
  }
  contexts {
    name: ""esperando_nuvem""
    lifespan: 1
    parameters {
      fields {
        key: ""banco_dados""
        value {
          string_value: ""MySQL""
        }
      }
      fields {
        key: ""banco_dados.original""
        value {
          string_value: ""Mysql""
        }
      }
    }
  }
  metadata {
    intent_id: ""9cd308c3-5ad7-4d92-b99c-48ed0fb0441d""
    intent_name: ""Banco de Dados Intent""
    webhook_used: ""false""
    webhook_for_slot_filling_used: ""false""
    is_fallback_intent: ""false""
  }
  fulfillment {
    speech: ""Legal!!! O banco de dados MySQL é muito utilizado. E qual provedor de núvem você usa?""
    messages {
      lang: ""pt-br""
      type {
        number_value: 0.0
      }
      speech {
        string_value: ""Legal!!! O banco de dados MySQL é muito utilizado. E qual provedor de núvem você usa?""
      }
    }
  }
}
status {
  code: 200
  error_type: ""success""
}
",2021-04-17T12:31:25.021364Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
1s3vmqag3jbmzs0,V2,292f9bb5-16a7-4629-b560-30c78baaa6d5-d74139ee,dialogflow_request,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:25.030692240Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Request : {""session"":""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2"",""query_input"":""{\n  \""text\"": {\n    \""textInputs\"": [{\n      \""text\"": \""Mysql\""\n    }]\n  }\n}"",""timezone"":""America/Buenos_Aires""}",2021-04-17T12:31:24.993Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
19s6nyug338253t,V2,989afe84-4853-4471-9bef-69acb638a2ca-d74139ee,dialogflow_response,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:18.105005280Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Response : id: ""989afe84-4853-4471-9bef-69acb638a2ca-d74139ee""
lang: ""pt-br""
session_id: ""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2""
timestamp: ""2021-04-17T12:31:18.091596Z""
result {
  source: ""agent""
  resolved_query: ""C""
  score: 1.0
  parameters {
    fields {
      key: ""linguagem_programacao""
      value {
        string_value: ""C""
      }
    }
  }
  contexts {
    name: ""esperando_banco_de_dados""
    lifespan: 1
    parameters {
      fields {
        key: ""linguagem_programacao""
        value {
          string_value: ""C""
        }
      }
      fields {
        key: ""linguagem_programacao.original""
        value {
          string_value: ""C""
        }
      }
    }
  }
  metadata {
    intent_id: ""ffca72f6-e1bd-4640-8f27-178c56240135""
    intent_name: ""Linguagem de Programacao Intent""
    webhook_used: ""false""
    webhook_for_slot_filling_used: ""false""
    is_fallback_intent: ""false""
  }
  fulfillment {
    speech: ""A linguagem C  é bem legal =).  E qual banco de dados você usa?""
    messages {
      lang: ""pt-br""
      type {
        number_value: 0.0
      }
      speech {
        string_value: ""A linguagem C  é bem legal =).  E qual banco de dados você usa?""
      }
    }
  }
}
status {
  code: 200
  error_type: ""success""
}
",2021-04-17T12:31:18.094301Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
19s6nyug338253s,V2,989afe84-4853-4471-9bef-69acb638a2ca-d74139ee,dialogflow_request,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:18.105005280Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Request : {""session"":""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2"",""query_input"":""{\n  \""text\"": {\n    \""textInputs\"": [{\n      \""text\"": \""C\""\n    }]\n  }\n}"",""timezone"":""America/Buenos_Aires""}",2021-04-17T12:31:18.062Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
3marygg3c8knib,V2,cda27d27-f1fb-40e4-a202-f0f6bd0d3b60-d74139ee,dialogflow_response,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:11.327934919Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Response : id: ""cda27d27-f1fb-40e4-a202-f0f6bd0d3b60-d74139ee""
lang: ""pt-br""
session_id: ""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2""
timestamp: ""2021-04-17T12:31:11.317179Z""
result {
  source: ""agent""
  resolved_query: ""rodrigo""
  score: 1.0
  parameters {
    fields {
      key: ""given-name""
      value {
        string_value: ""Rodrigo""
      }
    }
  }
  contexts {
    name: ""esperando_linguagem_de_programacao""
    lifespan: 1
    parameters {
      fields {
        key: ""given-name""
        value {
          string_value: ""Rodrigo""
        }
      }
      fields {
        key: ""given-name.original""
        value {
          string_value: ""rodrigo""
        }
      }
    }
  }
  metadata {
    intent_id: ""662a2fe0-b426-4ed1-bd04-b04acc7d5a5d""
    intent_name: ""Primeiro Nome Intent""
    webhook_used: ""false""
    webhook_for_slot_filling_used: ""false""
    is_fallback_intent: ""false""
  }
  fulfillment {
    speech: ""Olá Rodrigo qual a sua lingugem de programação preferida?""
    messages {
      lang: ""pt-br""
      type {
        number_value: 0.0
      }
      speech {
        string_value: ""Olá Rodrigo qual a sua lingugem de programação preferida?""
      }
    }
  }
}
status {
  code: 200
  error_type: ""success""
}
",2021-04-17T12:31:11.320406Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
3marygg3c8knia,V2,cda27d27-f1fb-40e4-a202-f0f6bd0d3b60-d74139ee,dialogflow_request,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:11.327934919Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Request : {""session"":""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2"",""query_input"":""{\n  \""text\"": {\n    \""textInputs\"": [{\n      \""text\"": \""rodrigo\""\n    }]\n  }\n}"",""timezone"":""America/Buenos_Aires""}",2021-04-17T12:31:11.292Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
lxqdqcg3chpqpk,V2,7ea1afd9-b885-4b1e-8e9e-bddabf03828b-d74139ee,dialogflow_response,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:09.165694973Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Response : id: ""7ea1afd9-b885-4b1e-8e9e-bddabf03828b-d74139ee""
lang: ""pt-br""
session_id: ""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2""
timestamp: ""2021-04-17T12:31:09.142017Z""
result {
  source: ""agent""
  resolved_query: ""oi""
  action: ""input.welcome""
  score: 1.0
  parameters {
  }
  contexts {
    name: ""esperando_primeiro_nome""
    lifespan: 1
    parameters {
    }
  }
  contexts {
    name: ""__system_counters__""
    lifespan: 1
    parameters {
      fields {
        key: ""no-input""
        value {
          number_value: 0.0
        }
      }
      fields {
        key: ""no-match""
        value {
          number_value: 0.0
        }
      }
    }
  }
  metadata {
    intent_id: ""64b85a94-84b6-47e2-ac75-2ba8cc85c7b4""
    intent_name: ""Default Welcome Intent""
    webhook_used: ""false""
    webhook_for_slot_filling_used: ""false""
    is_fallback_intent: ""false""
  }
  fulfillment {
    speech: ""Olá! Qual o seu nome?""
    messages {
      lang: ""pt-br""
      type {
        number_value: 0.0
      }
      speech {
        string_value: ""Olá! Qual o seu nome?""
      }
    }
  }
}
status {
  code: 200
  error_type: ""success""
}
",2021-04-17T12:31:09.145556Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
lxqdqcg3chpqpi,V2,7ea1afd9-b885-4b1e-8e9e-bddabf03828b-d74139ee,dialogflow_request,projects/rpg-chatbot-qaol/logs/dialogflow_agent,2021-04-17T12:31:09.165694973Z,rpg-chatbot-qaol,global,INFO,"Dialogflow Request : {""session"":""webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2"",""query_input"":""{\n  \""text\"": {\n    \""textInputs\"": [{\n      \""text\"": \""oi\""\n    }]\n  }\n}"",""timezone"":""America/Buenos_Aires""}",2021-04-17T12:31:09.124Z,webdemo-8e9e7087-e736-1ce5-1ac6-44439f6b6fd2
